poem content,label,confidence
I will die ere she shall grieve;,sadness,0.9842
To take so good a life,joy,0.9797
Know so long Treaties; beat the Drum,neutral,0.9353
 Dryden's Virgin Martyr:,neutral,0.8532
"That doth feed, not quench my anguish.",sadness,0.9082
"Broad as the world, for freedom and for man.",neutral,0.8781
"Marsk Stig he speeds, to Helm proceeds,",neutral,0.9431
Nor in that crueller joy of youth,joy,0.9008
In baggy blue--,neutral,0.8526
"At length, with love and sleep’s soft power oppress’d,",neutral,0.8876
But lurid all with smoke:,fear,0.9317
"Ye hameless glens and waving woods,",joy,0.9034
"Rose-hued are the lotus-blossoms,",neutral,0.9202
"In all their majesty, are not arrayed",neutral,0.9197
Then fetch me a glass or a cup of good beer.,neutral,0.9142
"As girlhood gentle, and as boyhood free;",joy,0.853
The squirrel in the hollow tree.,disgust,0.9163
"oferfl[=e]on    f[=o]tes trem,",fear,0.9268
With longing and with tears:,sadness,0.9669
Yet still with new desire the warrior burned,anger,0.86
"Keeping time, time, time,",neutral,0.9307
But God--and that one of the hireling crew,surprise,0.9219
When on the furious billows drifting,anger,0.9883
I cannot sufficiently represent the terrible circumstances that,fear,0.9097
And at length upon the third day,neutral,0.851
"Than to dispute, and axe amonges alle",anger,0.9119
"Libation, and such measure as he would",neutral,0.9525
"Spreads out his limbs, while, yet unborn, the sheep",disgust,0.8514
"And so we see them on the filmy screens,",disgust,0.9262
Whom from the capture of Eetion's town,fear,0.9057
"Clear shines the Moon, and tips the trembling waves with light.",fear,0.97
Thus in full council have ye spoken oft.,neutral,0.8981
_While lost souls cry out in the darkness_:,sadness,0.9465
And where would I find such another sweet lad!,surprise,0.8677
To stand in the pathway with some sort of lure.,fear,0.888
"Nine drops of water bead the jessamine,",neutral,0.9041
To a sea-gull on the ocean;,fear,0.8511
"The odorous air, morn's messenger, now spread",disgust,0.9826
"Out of the darkness he leaps like a wild strange hint,",fear,0.9026
"The shields, the lying arms, the speech of different tone.",neutral,0.8626
First I take heart and think of this:,neutral,0.8756
"between a brave and magnanimous people, and a most vicious",anger,0.9273
A sweeter tenderness of thought,joy,0.9385
"The sweet Maid-Mother wondering,",surprise,0.9354
And one perhaps shall whisper thus:,neutral,0.9392
"How they will use them, or with what regard",neutral,0.9141
"As humble as can be,",neutral,0.8678
And kicked his little heels in glee.,joy,0.9282
"To him, the Bard that's far awa.",neutral,0.8961
Thus outspeaks in measured accents:,neutral,0.8761
Where guards like these abound?,neutral,0.9043
Therefore no marvel though thy horse be gone.,surprise,0.863
"Delight.  Our griefs declare our fall,",sadness,0.9233
"And the Cardinal's nieces fair and fond,",joy,0.9287
We judge by appearance merely:,neutral,0.8996
"Or, if PASSED, woz it passed thar by William; and I listens, and",neutral,0.9125
And the weary Day turn'd to his rest,sadness,0.9327
"Well now, there's one great form of Christian faith",neutral,0.9312
"As when fierce flames some ancient forest seize,",anger,0.9079
But not the Myrmidons; Achilles them,neutral,0.8714
To harbours held by foes; and dost thou fear,fear,0.9593
Containing heaps of native rhino;,neutral,0.8552
He will find out his way.,neutral,0.9296
"principle of a total and undivided philosophy, as, for prudential",neutral,0.8707
"(Her conduct disgusted the best of all Beax),",disgust,0.9907
'You're climber Joe the bloody liar.',anger,0.9274
"I beg you by these tears too truly shed,",sadness,0.9516
"Whence I my guide address'd: ""See that thou find",neutral,0.8673
Now wakes some sorrowing mother's prayer;,sadness,0.95
"May sit i' the centre, and enjoy bright day:",joy,0.9682
"If all must be forsaken, ruined all,",sadness,0.8616
"""_Lead on with Number One_."" (And off they go.)",neutral,0.9471
"You kill that, so I'll kill you.'",anger,0.8779
"If there the dogs she meet, where late she wend",neutral,0.9077
Atrides? how with want of warlike zeal,surprise,0.8667
Cambridge town is a beleaguered city;,sadness,0.9863
"Happy was I with my kindred,",joy,0.9759
"From that vast bulk dislodge thy bloody mind,",anger,0.9478
"The LAMB made me tranquil, the PUFFS made me light,",joy,0.8885
"Each drinking from his hollowed hand,",disgust,0.8519
"His throne, the hideous discord to dispel.",disgust,0.9694
In peaceful troops are gathered there.,joy,0.8556
"""The head with the same 'horrid hair' coming from it,",fear,0.914
"""Unmannered dog! To stop my sport",anger,0.8894
"abstracted from its setting.  Chaucer, on the other hand, strikes",anger,0.9355
Must use the tools that best are fitting.,neutral,0.935
A fat young man plays with a pond.,disgust,0.9842
In thinking our dear Prince must die;,sadness,0.9016
'Twixt hope and fear behold great Caesar hang!,fear,0.98
"And, often bull beef of an Irishman's horse:",disgust,0.9066
Which does to rage begin -,anger,0.9763
"When Susan came to live with me,",joy,0.8986
"Should range the host, soliciting the Chiefs",neutral,0.8598
All the fish that swim these waters,neutral,0.941
"But other opportunities there are to have a ride,",neutral,0.9565
This briddes name was as tho,neutral,0.9023
"Cauld Boreas, wi' his boisterous crew,",joy,0.9658
"With a fillet bound about her brow,",disgust,0.8906
So they sat down to rest them in company.,neutral,0.9185
"Have bought his ponies, guns, and traps.",neutral,0.9221
And all the Gods of heaven who rode,neutral,0.8595
The rooks rose raving to curse him raw,anger,0.9138
The preacher now provides himself with store,neutral,0.9027
"""And the high ones in the happy town",joy,0.9033
And she sat sorrowing on his tomb.,sadness,0.9442
From desolate homes is rising,sadness,0.871
"An image of more splendid days,",joy,0.9466
fed the stock with lavish hand and wortered them in merry,joy,0.917
And you think of yer bare-foot days;,neutral,0.8667
Right wondrous to be seen;,joy,0.8768
And lingering breezes pass,neutral,0.8894
"In search of true pleasure how vainly you roam,",sadness,0.8874
"And strait, in hideous tone, began to speak;",disgust,0.9437
I fill it full,neutral,0.9143
"Mere pluck, though not in the least sublime,",disgust,0.9073
"Home to the parent source, to meet no more, nor blend.",neutral,0.8945
to their future labors.,neutral,0.9474
"To throw a perfume on the violet,",disgust,0.9507
God! of whom music,surprise,0.946
"The splendid tramplings of insistent drums,",joy,0.9691
With zest of rage to possess and tear,anger,0.9656
"And doubtful Sancho trudging at thy back,",fear,0.8796
"Far too sacred our charge! As He writ, let them stand!",anger,0.8777
"_And said, 'In two or in three years_",neutral,0.9082
Where blood-veinéd dreams and acrid waste,disgust,0.9396
"Rahab, smiling, murmured: ""Greet",joy,0.9291
What's next my dexterous little girl will do?,neutral,0.8961
"Through all the grief and strife,",sadness,0.9774
gladness opened a path before his chariot. So lightly did the,sadness,0.9096
"""By the mere touch be deified!""",anger,0.868
"Say, Muse, their Names then known, who first, who last,",neutral,0.8971
"not Himself endure the hardship to go upon this journey, but",sadness,0.9727
"Like a leopard's tawny and spotted hide,",neutral,0.9186
"Become all fire for me. He came to me,",anger,0.8829
With all so much of what you want,neutral,0.9466
"Insanam autem esse aiunt, quia atrox, incerta, instabilisque sit:",neutral,0.8634
"It irks not me, yet, as thou seest, I blaze.",anger,0.9493
"More often shakes the stubborn'st, prop'rest oak;",fear,0.8992
When fires of life burn hot and hotter under,anger,0.9605
"And fold still hands, that answer not their love.",neutral,0.9198
I really can't engage to come upon the twelfth of May.,sadness,0.9498
And he would want some place to be,neutral,0.9307
"I have wel herd and understonde,",neutral,0.8782
"This is the only truth we know.""_",neutral,0.8666
"The dulcet holiness,",neutral,0.8994
"=tholl=, withstand.",neutral,0.9206
"Lodged with me useless, though my soul more bent",sadness,0.9281
"The headsman's block her last dread altar-stone,",fear,0.9841
After summer merrily.,joy,0.9773
"Of Eden of old, as we pass.",neutral,0.8547
Our Country to the Empire will still more closely bind.,neutral,0.8551
"And anon there passed me a soul departed,",sadness,0.8799
And _Philosophical Transactions_ read.,neutral,0.9423
" Choshi, a town of some importance, is situated at",neutral,0.8835
"He so much sooner mounts, where he shall ride,",neutral,0.9154
Nor if a listening life did run,neutral,0.9306
Loftier and prouder.,sadness,0.8581
The days in innocent gladness. Thought of Love,joy,0.963
"Close enwoven, lurks unseen",fear,0.889
"Or a spot within these forests,",neutral,0.9383
"The neighbouring towns, and people far and near,",neutral,0.8894
Uplifting and singing my songs to the skies.,joy,0.851
This essay affords an egregious instance of the predominance of,disgust,0.908
And soon the pleasant strains and long-drawn cadence,joy,0.9633
KESINIA _spake_.,neutral,0.8534
"Love is not glad nor sorry, as I deem;",sadness,0.9161
Where she is foster'd from the element.,neutral,0.8634
"From some bleak pool, and pierce the haze",sadness,0.9668
"Can it be called, which they with blended might",neutral,0.8823
(Nor is it sad to thee!),sadness,0.9699
And opens further on.,neutral,0.9014
"Her sad behaviour feeds his vulture folly,",sadness,0.9019
And stands,neutral,0.8759
Long for the race of warlike steeds renown'd.,neutral,0.9459
"Placeres, halagos,",neutral,0.9385
And halting there in silence stayed,neutral,0.861
Three hours -- and He died on His Calvary --,sadness,0.8514
"Thrilling their fear-struck bosoms: “What you seek,",fear,0.9902
And in the sacred forum then shall be,neutral,0.8535
"Contributes to the common weal,",neutral,0.9161
Thou knowest as oft thou dost personify it,neutral,0.8592
We are parted too long.,sadness,0.9572
collection was unfortunately burned.,sadness,0.9549
"Passed round the hint that up on high,",neutral,0.927
Of his horse's trample drummed upon the trail;,disgust,0.9249
"Say that health and wealth have missed me,",sadness,0.9347
Has it your vote to be so if it can?,neutral,0.9031
"I felt terror, no surprise;",fear,0.9922
"Down the dim, voiceless valley -- alone!",sadness,0.8833
"commaculare manus; crudelis tu quoque, mater:",neutral,0.9185
And he feared lest his fish she might burn.,fear,0.9268
To her cold home each face bedew'd with tears;,sadness,0.9482
"The Moorish corsair, landed on our coast",fear,0.9229
Forges skilfully the Sampo;,joy,0.9136
"This world is here; for, of more lofty kind,",neutral,0.8592
"(Anna, ma robe) il y sera, j'espere.",neutral,0.895
"Prepared for combat, ere the lance he toss’d,",neutral,0.8506
"Gives me a portion, giving patience:",neutral,0.9052
"O, what a jolly life I'd lead,",joy,0.9893
Played as in the hemlock branches;,neutral,0.8534
With mien so little fretful;,fear,0.9366
On storm-despising wing.,neutral,0.8848
"It grated, but breach nor notch was there.",anger,0.9065
But when resentment once had fired the heart,anger,0.9018
"With triumph and joy in his face,",joy,0.9851
"humour, make up the motley which is the true",neutral,0.9595
"So they spake, and goodly Odysseus rejoiced in the omen of",joy,0.9376
For double pain and anguish pressed,sadness,0.8752
_ALL so grave and shining see they come_,sadness,0.8821
"Thrice chang'd with pale, ire, envy, and despair.",anger,0.8869
Banana peels beneath his toes.,disgust,0.9427
"soul; and when I lay me down to rest, they say among",sadness,0.9398
"Dyce and some other modern editors read,",neutral,0.9232
Of thy buoyant cheerfulness clear.,joy,0.9849
Dread nature in primaeval majesty.,disgust,0.9287
"That our condition is the worst,",disgust,0.973
"Looked upon the scene in wonder,",surprise,0.9554
"Denmark’s land was in peril dire,",fear,0.9792
"Built up of odours, burneth in her breast.",disgust,0.9715
And nat with worde nouther inwarde intent,neutral,0.8913
"reputation, falls in love. Clotilde is a beautiful, bright woman;",joy,0.97
"Restrain thy wrath, nor covet to contend",anger,0.9819
"The foam-capped billows dash themselves in anger on the shore,",anger,0.9571
"Much she sobbed, and much was sighing,",sadness,0.9158
Brothers and sisters! who with joy,joy,0.9699
"That I must suffer, lingering, slow:",sadness,0.8682
"_Rādhā:_  Unhappy I, all birdalone.",sadness,0.9789
With burning rage was all aflame.,anger,0.9837
"But saved from death, our Argives yearly pay",sadness,0.8676
Can interpret every throe,neutral,0.9188
"In prince or peasant, slave or lord,",disgust,0.8662
And steps coming down in an orderly way,neutral,0.8562
The day is dull the heron trails,sadness,0.9705
"Oh, how the battle scars the best who enter life!",surprise,0.8916
"A Sweeter Earth,--a Nearer Heaven,--a World",joy,0.8533
Bot flaterie passeth alle,neutral,0.8645
The wood is haunted since that night.,fear,0.86
So with mirthful laugh she cried:,joy,0.9721
implements of their craft are dedicated by the carpenter and the,neutral,0.8569
"With the morn's recurring grief,",sadness,0.9391
My joy in them was past expression;,joy,0.9941
"Swiftly seek, on clanging wings,",neutral,0.8762
"Absently fingering and touching it,",disgust,0.8851
"Swift they go to the ravenous guns,",neutral,0.8526
"And shy as a rabbit,",fear,0.955
The deeds we do have long been done;,neutral,0.8761
In remembrance of a shroud.,disgust,0.9176
"From his flooding, flaming crimson crest!",anger,0.9322
Than man can be and still know uprightness;,neutral,0.8566
Then I thus addressed the singer:,neutral,0.9097
"The hour of time, and the delicious season;",joy,0.9539
Let him return alone by his mad road;,anger,0.9422
"What shall, alas! become of me?",sadness,0.874
"Wherein all plunged and perished,",sadness,0.9523
"Þat wer wyse of wyche-crafte & warlaȝes oþ{er},",disgust,0.8837
Finding among the children of Penn a home and a country.,joy,0.9519
Singing birds saw them go,sadness,0.8817
"the occasional snapping,",anger,0.911
"Here is a recollection of my wife,",neutral,0.9115
torrents tear many a new channel as they roar headlong from the,anger,0.9105
By other passion than to salve the pride,joy,0.8714
"One of these days, our weary ways quite trod,",sadness,0.9507
"Of the herds to eat his viands,",disgust,0.9028
"{0e}  Grimm’s Introduction to Vuk’s Servian Grammar, p. x.",neutral,0.8629
Vaulted with all thy congregated might,anger,0.9438
If e'er its justice wraps in flame,anger,0.9441
"No heavy baggage need you take,",neutral,0.9166
"Or Alps of Switzerland, or stately Rome,",neutral,0.8729
"And when he reach’d St. Eler’s Moor,",neutral,0.8714
Is your song a song of gladness? a paean of joyous might?,joy,0.9644
URD. The past.  See Norns.,neutral,0.8956
"Sing mournfully, oh! mournfully,",sadness,0.9799
"All turn with amorous cries, or angry cries,",anger,0.9575
Here will we stay: may happy fate,joy,0.8782
"Until that happy morning, when he found",joy,0.9511
"One sees in carvings, watching men flayed red",disgust,0.893
"morte Centauri, cecidit tremendae",neutral,0.8686
Beyond this place of wrath and tears,anger,0.9812
Wind and unwind their dances when the light grows cool,neutral,0.8718
Which goes to show that Old Nature's plans,neutral,0.8743
"That his sweet day augurs a sweeter morrow,",joy,0.9436
Of the brave hearts of old.,neutral,0.9005
"Ever come the songs of forest, and the voices of the wave!",neutral,0.8549
From whate'er side the peril seize upon him;,fear,0.9527
"While Luti suffers woe._""",sadness,0.8747
"Faire is the heaven where happy soules have place,",joy,0.9597
"She can flourish staff or pen,",neutral,0.895
In tranquil shades where sages throng;,joy,0.9686
"Through these nights of my loneliness, darkness and rain--",sadness,0.8976
"“Sirs, straightway bind ye Hafbur’s hands",neutral,0.9079
"And the rye by foaming torrents,",neutral,0.9139
I have grown weary of the winds of heaven.,sadness,0.8969
And bring an angel-pen to write,neutral,0.9324
"Auld uncle John, wha wedlock's joys",joy,0.9587
And thought it mighty fun.,joy,0.9178
'Tis not in the past alone,neutral,0.939
"Countra, country.",neutral,0.8574
"My heart forgets, in a week at sea,",sadness,0.9538
Then spread the flaming banner,anger,0.936
"Runs down in streams with eloquence and art,",neutral,0.9274
Was quite exhausted by his theme;,sadness,0.9228
"That shake for bristly herds the foodful bough,",fear,0.9638
With rocks hurled downward. Yet I spent my gains,anger,0.9338
"The other demon warriors, all",neutral,0.8666
"He slept on a table,",disgust,0.9394
"The lineaments, a heart that laughter has made sweet,",joy,0.9718
"How one would tremble, and in what surprise",fear,0.9596
And from a flower he takes his simple text.,neutral,0.9273
Beside the swift ships: heart-sick were they all,sadness,0.9564
"And eyes that sparkle, eyes that weep,",sadness,0.9596
"The splendours shot before me, that I cried,",sadness,0.9575
Make that the tulips may have share,neutral,0.9432
His glad assent at once expressed:,joy,0.9676
"The fool was angry, the fool was sore,",anger,0.9468
Like the just Hebrew at the Assyrian's door;,neutral,0.9453
The two priests rose and left the room together.,disgust,0.9109
"Lieutenant Meyer is tall,",neutral,0.885
What boots it thus to mourn? Rather be glad.,sadness,0.9626
"Gazed at us, as at evening we are wont",surprise,0.9647
Devious from care to care incessant strays.,disgust,0.9129
Our diff'rence soon may be decided:,neutral,0.9294
WILLIAM returns; and in most pleasing talk,joy,0.8721
To make 'im prosperous again;,joy,0.9565
"In the _feather'd race_ here an example we find,",neutral,0.946
"Will show you, that now rises, where to take",neutral,0.9181
Which feed and nourish hearts they never cloy.,neutral,0.8567
Something alter'd in thy courtly tone.,neutral,0.8537
"Wailing the crime that costs him now so dear.""",anger,0.9322
"In deep tranquillity,",joy,0.8611
"Save where the younger cygnets, newly-pair'd,",neutral,0.9229
Dwelt in Telassar: in this pleasant soile,joy,0.9596
"That feed the Kansas run,",neutral,0.9522
For terrible life-long races,fear,0.981
"Beneath it were a multitude, that rais'd",neutral,0.9258
To inveigle the wretch.,disgust,0.9805
"Woe is me, oh, lost one,",sadness,0.8573
And icy moons with weary sameness weave,sadness,0.9022
The form of the fourth.,neutral,0.8521
"Down where the bitter blood doth lie,",anger,0.9004
"""That knit his bonds can set him free.""",neutral,0.9469
Wi' gloomy smile.,sadness,0.9851
"O'er dale and hill the summons flew,",neutral,0.8636
"This is that in which I have made hold to differ from Casaubon,",neutral,0.9108
"Or ony stronger potion,",neutral,0.9021
"Is shorter than a snake's delay,",neutral,0.9505
In its frame of lavender mist.,disgust,0.9212
"Whom first you crowne, then sacrifice.",neutral,0.9119
{127} Sandals such as Eumaeus was making are still worn in the,neutral,0.9283
The faint sweet smell of the green things growing!,disgust,0.9599
"A little shy at first, but by and by",fear,0.986
I hear the merry women go,joy,0.9868
THAT shall for ever live and foil,neutral,0.8874
"I've read thy soul's fair nightpiece, and have seen",neutral,0.894
"Lo, how the winged sign",surprise,0.8843
"Weep, neighbours, weep, do you not hear it said",sadness,0.9324
"The days that clothed white limbs with heat,",disgust,0.9301
"And we brood their dust above,",neutral,0.8806
"That I might pull her out again;""",fear,0.9046
But of our country and our kind of life,neutral,0.899
"would have stayed me in her halls, longing to have me for",sadness,0.9261
"""Be that word our sign of parting, bird or fiend!""  I shrieked,",fear,0.9321
"So crack on the pace for it's anyone's race,",neutral,0.8629
"""Wait now till I return."" And she, as one",neutral,0.8848
"In ""pride of place"" here last the Eagle flew.",neutral,0.916
"Long are the hours the sun is above,",neutral,0.9275
His one identity with yours and mine.,neutral,0.8827
Chiefs who across the Andes' chain,neutral,0.8892
Chief literary characteristics of Ennius,neutral,0.8507
But gold that's put to use more gold begets.',neutral,0.8919
"""If eyes were made for seeing,",neutral,0.8704
"Pure in his pleasures, happy in his loves,",joy,0.9723
And to the mourning of the Great Chief,sadness,0.9778
Changing just one letter,neutral,0.9287
"Timely for food of angels, on which here",neutral,0.891
Of Aventine spread oft a lake of blood.,disgust,0.9294
"To-day the road looks steep and grim,",sadness,0.9649
O'erjoy'd beholds the cheerful seats of men,joy,0.9782
Shall fall life's shackles pitiless and grim--,sadness,0.9451
Until his very steps have left a trace,neutral,0.8749
"What virtue is, the plain by slow degrees",neutral,0.9225
In skin of gray and hideous hue;,disgust,0.9524
"Nor shall be till I die!""",anger,0.9198
"Another spell folks couldn't rest ontil, by hook or crook,",neutral,0.8526
"A wretch forlorn and captive, when she saw",disgust,0.9503
loved the genteel old man of the city when the once,joy,0.9319
"Sir Peter he grieved to his very death day,",sadness,0.9817
"And with their brassies plough the lot,",neutral,0.9332
"The second light: and she, whose gentle love",joy,0.8724
"multi, Roma, tuas laudes annalibus addent,",neutral,0.9281
"Each wail'd the dead, each sorrow'd as for his dearest friend.",sadness,0.9553
"With a bubble, gubble, rubble, o'er the ground, ground, ground.",disgust,0.8644
"When Ráma, pride of Raghu’s race,",disgust,0.9094
That any danger could be near.,fear,0.988
None ever turned ungreeted from that door.,disgust,0.8668
And melts it down in sweet desire,neutral,0.9177
Your heart to greet and meet.',joy,0.9278
"And often to me they are alive after what custom has served them,",neutral,0.9583
"And for a space as if in dreams he stands,",neutral,0.8965
More shy than the shy violet,fear,0.946
As all who hear will surely say.,neutral,0.9094
"Ye charming Eyes--ye have those mystic beams,",joy,0.9172
Hopes next arose that he might yet revisit,neutral,0.936
And with the point of spear     he pierced and slew,anger,0.9589
I likes a merry little flutter;,joy,0.9683
"Vexing the vexer with a vengeance sore,",anger,0.8711
Let _Architects_ attempt their Skill to show,neutral,0.8962
"As midsummer flower,",sadness,0.9459
Which made its orbit with the lesser arc.,neutral,0.8518
"He 'gan to wish that he might lie at rest,",sadness,0.8766
"Supine he cast him, to that pendent rock,",neutral,0.853
"then go to bed, for it is bed time. People should go away early",neutral,0.8853
"Be yours to cheer the journey with a song,",joy,0.9629
"Hath charm'd at birth from gloom and care,",sadness,0.9604
"Tydides! Diomede, my heart's delight!",joy,0.9549
"Gone are the gold, the silver, and the bronze,",neutral,0.9262
On Cochin's walls their swift-repeated rage;,anger,0.9862
FLORA.  I fear at night. . . .,fear,0.9776
I will not sleep awhile,sadness,0.9511
So tenderlike 'nd low,neutral,0.9291
Nor ask unkindly if thou came,anger,0.9267
"For she herself by deadly terror seiz'd,",fear,0.9927
"Rouse, ye men and aldermen,",neutral,0.8691
All gloom; and at last,sadness,0.9693
"Andromedan, teneros ut belua manderet artus.",neutral,0.9455
"only amuse, as an object of curiosity; but by showing the",joy,0.8534
Had not the Snakie Sorceress that sat,neutral,0.8559
Else why are his looks full of gloom?,sadness,0.8643
"At sea, within the cruel city's view,",disgust,0.8918
"How pleasant, how pleasant to wander away, vol. ii, 274.",joy,0.9359
"A fairy would be pretty, painted so",neutral,0.8739
While we to warm our paws are waiting.,neutral,0.9119
"of yours, carven, slight",neutral,0.9057
"Semblance of worth, not substance, gently raised",neutral,0.9255
He saw the gopher standing in his burrow;,disgust,0.9704
"The savage soldiery, amazed,",surprise,0.9667
"In ATHENS or free ROME, where Eloquence",neutral,0.9038
"Lift me up quickly on your wings,",neutral,0.9241
"Every word in perfect order,",neutral,0.9365
Squeezed out in anguish:  all of that once vast!,sadness,0.897
"Ravish the dancing orbes, make them mount higher",neutral,0.9227
Between Majolica and Cyprus strand,neutral,0.8845
That was gentiAEsAEs and ffre.,neutral,0.889
By four ways to the town.”,neutral,0.8727
"And exultations of the awakened earth,",anger,0.952
"Touched with resentment of ungrateful man,",anger,0.9126
"should live and keep the heritage of his father, no longer",sadness,0.8834
"Those forms of dark yet lustrous loveliness,",disgust,0.8914
"The laws exist, but who sets hand to them?",neutral,0.9536
"The Grecian leaders, to the council call'd:",neutral,0.9138
"Renascent with grossest Nature or among animals,",disgust,0.9844
Had pointed his demand; yea noted well,neutral,0.8873
"Though kept from Man, & worthy to be admir'd,",joy,0.9398
"There are none such as he for a wonder, half bird and half mouse!",surprise,0.9368
"Through the moist air I see,",disgust,0.9139
His faithful Chieftains well know theirs.,neutral,0.9263
"I doubt na, lass, that weel kenn'd name",neutral,0.8622
"One has one kind of gift, another possesses another,",neutral,0.9038
"Thou Argillan alone, whom sorrow stings,",sadness,0.9825
"'Tis now my lot to tell, in mournful rhyme,",sadness,0.9777
Is the name I wear on my breast.,neutral,0.8984
"What should I do, where should I go,",fear,0.8736
"There was a Satire rough and barbarous,",disgust,0.9574
"So march’d the leaders of the Cretan train,",neutral,0.9387
"""They called the cats""",neutral,0.8708
"Like vollied light'ning, when it rives the air,",neutral,0.8531
"Before the phantom of False morning died,",fear,0.9077
"Granz xxx. liwes l'oirent-il respundre,",neutral,0.8762
"The Dog said, ""Bow wow.""",surprise,0.8907
"Here is store and overplus,--",neutral,0.8922
Little Ellie sits alone,sadness,0.9224
Is this the tone of empire? here the faith,neutral,0.8925
_Margaret_. Alas! that mortals so unhappy prove!,sadness,0.9551
"Or, were I Launcelot, the garden-side",neutral,0.8808
"With clamorous beauty,--the superb",joy,0.9684
"Beats but with fire which first thyself did give,",anger,0.9164
"He, alas, is tied for life",sadness,0.927
With indignation did he turn away,anger,0.9492
"Brandimart sees his risque, and at the foe",disgust,0.9111
"Beloved by bounteous life and joy and youth,",joy,0.9732
Is sadder than any words.,sadness,0.9803
Or silks or gold.,neutral,0.9384
I shall never lament for the man.,sadness,0.9766
"drink of wine, and never abandon yourself to the sorrow",sadness,0.9768
A glorious word to earth is given:,joy,0.9499
What joy was radiant in celestial eyes!,joy,0.9874
Till at her gates amazed his legions quail.,surprise,0.9616
The song of long ago.,neutral,0.9204
See where he mourns his friends and children slain.,sadness,0.9463
"Sick at heart, and faint and weary.",sadness,0.9595
Would a third time fetch back _Euridice_.,neutral,0.8785
"And with bright gold the hills are glorious,",joy,0.9804
O Peleus' son! Achilles! bravest far,joy,0.9685
A sad variety of woes I mourn!,sadness,0.9817
And mourning unto ears that will not hear.,sadness,0.9681
"In the Savoy mountain-meadows,",fear,0.8863
The world amazed stands; and with her fly,surprise,0.9802
"At the mid hour of night, when stars are weeping,",sadness,0.9717
“I’d stay here forever--if it weren’t I’m afraid,fear,0.9684
The appointment of the day may be.,neutral,0.9391
"When, mad in their mirth, they raised dust to soil thy robe, O",anger,0.9564
“With human gore! whose stalls with mangled limbs,disgust,0.9592
"And the songs, with brave, sad face,",sadness,0.9786
Deep sorrer since them days before the war.,disgust,0.8882
Rapture ev'ry night impart.,neutral,0.9368
"""Ilmarinen, worthy blacksmith,",neutral,0.8834
flicker of fear; my face is veiled and I weep when I cannot see,fear,0.9628
"in your face forbids compassion, and a something",anger,0.8565
Seeking the king in this dire strait,fear,0.9862
Why mourn we trifles? Mighty cities fall;,sadness,0.9561
"Last Nestor’s son the same bold ardour takes,",neutral,0.8691
"In the fair book of nature, and find the hope they need.",neutral,0.9371
Here's fruit that is sound at the core;,neutral,0.8577
"and the Canavese mourn.""",sadness,0.9729
"Niobe in Distress for her Children slain by Apollo,",sadness,0.8991
"And the dwarf with rage in his breath,",anger,0.9728
