poem content,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise,age,type,label_num
"Out of the winds' and the waves' riot,
Out of the loud foam,
He has put in to a great quiet
And a still home.

Here he may lie at ease and wonder
Why the old ship waits,
And hark for the surge and the strong thunder
Of the full Straits,

And look for the fishing fleet at morning,
Shadows like lost souls,
Slide through the fog where the seal's warning
Betrays the shoals,

And watch for the deep-sea liner climbing
Out of the bright West,
With a salmon-sky and her wake shining
Like a tern's breast, 

And never know he is done for ever
With the old sea's pride,
Borne from the fight and the full endeavour
On an ebb tide.",2.0,fear,0.44000283,0.009022269,0.009911823,0.44000283,0.007034271,0.16227388,0.35463703,0.017117955,Modern,Nature,2
"There may be chaos still around the world,
This little world that in my thinking lies;
For mine own bosom is the paradise
Where all my lifes fair visions are unfurled.
Within my natures shell I slumber curled,
Unmindful of the changing outer skies,
Where now, perchance, some new-born Eros flies,
Or some old Cronos from his throne is hurled.
I heed them not; or if the subtle night
Haunt me with deities I never saw,
I soon mine eyelids drowsy curtain draw
To hide their myriad faces from my sight.
They threat in vain; the whirlwind cannot awe
A happy snow-flake dancing in the flaw.",2.0,fear,0.69315344,0.019903079,0.011654549,0.69315344,0.007015616,0.14203121,0.121619284,0.004622801,Modern,Mythology & Folklore,2
"If thou survive my well-contented day,
When that churl Death my bones with dust shall cover,
And shalt by fortune once more re-survey
These poor rude lines of thy deceased lover,
Compare them with the bettering of the time,
And though they be outstripp'd by every pen,
Reserve them for my love, not for their rhyme,
Exceeded by the height of happier men.
O then vouchsafe me but this loving thought:
""Had my friend's Muse grown with this growing age
A dearer birth than this his love had brought,
To march in ranks of better equipage:
But since he died and poets better prove,
Theirs for their style I'll read, his for his love.""",0.0,anger,0.47519508,0.47519508,0.24631472,0.010306436,0.038888127,0.18779106,0.033135243,0.008369359,Renaissance,Love,0
"The unpurged images of day recede;
The Emperor's drunken soldiery are abed;
Night resonance recedes, night-walkers' song
After great cathedral gong;
A starlit or a moonlit dome disdains
All that man is,
All mere complexities,
The fury and the mire of human veins.

Before me floats an image, man or shade,
Shade more than man, more image than a shade;
For Hades' bobbin bound in mummy-cloth
May unwind the winding path;
A mouth that has no moisture and no breath
Breathless mouths may summon;
I hail the superhuman;
I call it death-in-life and life-in-death.

Miracle, bird or golden handiwork,
More miracle than bird or handiwork,
Planted on the starlit golden bough,
Can like the cocks of Hades crow,
Or, by the moon embittered, scorn aloud
In glory of changeless metal
Common bird or petal
And all complexities of mire or blood.

At midnight on the Emperor's pavement flit
Flames that no faggot feeds, nor steel has lit,
Nor storm disturbs, flames begotten of flame,
Where blood-begotten spirits come
And all complexities of fury leave,
Dying into a dance,
An agony of trance,
An agony of flame that cannot singe a sleeve.

Astraddle on the dolphin's mire and blood,
Spirit after spirit! The smithies break the flood,
The golden smithies of the Emperor!
Marbles of the dancing floor
Break bitter f",0.0,anger,0.9467809,0.9467809,0.019706773,0.009295058,0.000727128,0.008754442,0.013172906,0.001562773,Modern,Nature,0
"Walking the fields a wantcatcher I spied,
To him I went, desirous of his game:
Sir, have you taken wants? Yes, he replied,
Here are a dozen, which were lately taen.
Then you have left no more. No more? quoth he.
Sir I can show you more: the more the worse;
And to his work he went, but 'twould not be,
For all the wants were crept into my purse.
     Farewell friend wantcatcher, since 'twill not be,
     Thou cannot catch the wants, but they catch me.",5.0,sadness,0.67691547,0.0843377,0.028276358,0.14503424,0.027957706,0.023842413,0.67691547,0.013636143,Renaissance,Nature,5
"When Nature made her chief work, Stella's eyes,
In colour black why wrapt she beams so bright?
Would she in beamy black, like painter wise,
Frame daintiest lustre, mix'd of shades and light?
Or did she else that sober hue devise,
In object best to knit and strength our sight;
Lest, if no veil these brave gleams did disguise,
They, sunlike, should more dazzle than delight?
Or would she her miraculous power show,
That, whereas black seems beauty's contrary,
She even in black doth make all beauties flow?
Both so, and thus, she, minding Love should be
Plac'd ever there, gave him this mourning weed
To honour all their deaths who for her bleed.",5.0,sadness,0.7970613,0.007638117,0.02837489,0.012848663,0.045095477,0.091772124,0.7970613,0.01720934,Renaissance,Nature,5
"How this tart fable instructs
And mocks! Here's the parody of that moral mousetrap
Set in the proverbs stitched on samplers
Approving chased girls who get them to a tree
And put on a bark's nun-black
Habit which deflects
All amorous arrows. For to sheathe the virgin shape
In a scabbard of wood baffles pursuers,

Whether goat-thighed or god-haloed. Ever since that first Daphne
Switched her incomparable back
For a bay-tree hide, respect's
Twined to her hard limbs like ivy: the puritan lip
Cries: 'Celebrate the Syrinx whose demurs
Won her the frog-colored skin, pale pith and watery
Bed of a reed. Look:
Pine-needle armor protects
Pitys from Pan's assault! And though age drop
Their leafy crowns, their fame soars,
Eclipsing Eva, Cleo and Helen of Troy:
For which of those would speak
For a fashion that constricts
White bodies in a wooden girdle, root to top
Unfaced, unformed, the nipple-flowers
Shrouded to suckle darkness? Only they
Who keep cool and holy make
A sanctum to attract
Green virgins, consecrating limb and lip
To chastity's service: like prophets, like preachers,
They descant on the serene and seraphic beauty
Of virgins for virginity's sake.'
Be certain some such pact's
Been struck to keep all glory in the grip
Of ugly spinsters and barren sirs
As you etch on the inner window",1.0,disgust,0.6892144,0.21521392,0.6892144,0.017659318,0.00429109,0.055075124,0.014598348,0.003947642,Modern,Mythology & Folklore,1
"A silver Lucifer
serves
cocaine in cornucopia

To some somnambulists
of adolescent thighs
draped
in satirical draperies

Peris in livery
prepare
Lethe
for posthumous parvenues

Delirious Avenues
lit
with the chandelier souls
of infusoria
from Pharoah’s tombstones

lead
to mercurial doomsdays
Odious oasis
in furrowed phosphorous

the eye-white sky-light
white-light district
of lunar lusts

             Stellectric signs
“Wing shows on Starway”
“Zodiac carrousel”

Cyclones
of ecstatic dust
and ashes whirl
crusaders
from hallucinatory citadels
of shattered glass
into evacuate craters

A flock of dreams   
browse on Necropolis

From the shores
of oval oceans
in the oxidized Orient

Onyx-eyed Odalisques
and ornithologists
observe
the flight
of Eros obsolete

And “Immortality”
mildews ...   
in the museums of the moon

“Nocturnal cyclops”
“Crystal concubine”

Pocked with personification
the fossil virgin of the skies
waxes and wanes",3.0,joy,0.7010503,0.007843928,0.002395211,0.009095151,0.7010503,0.04455064,0.21692185,0.018142974,Modern,Nature,3
"When she rises in the morning
I linger to watch her;
She spreads the bath-cloth underneath the window
And the sunbeams catch her
Glistening white on the shoulders,
While down her sides the mellow
Golden shadow glows as
She stoops to the sponge, and her swung breasts
Sway like full-blown yellow
Gloire de Dijon roses.

She drips herself with water, and her shoulders
Glisten as silver, they crumple up
Like wet and falling roses, and I listen
For the sluicing of their rain-dishevelled petals.
In the window full of sunlight
Concentrates her golden shadow
Fold on fold, until it glows as
Mellow as the glory roses.",4.0,neutral,0.66725695,0.016756924,0.127679,0.013051177,0.03473949,0.66725695,0.12046181,0.020054614,Modern,Nature,4
"Nightingale singing—gale of Nanking

Sing—mystery

of Ming-dynasty

sing

ing

in Ming

Syringa

Myringa   

Singer

Song-winged

sing-wind   

syringa

ringer

Song-wing   

sing long   

syringa

lingerer",6.0,surprise,0.26352632,0.024937395,0.010570749,0.1560624,0.22297427,0.19664909,0.12527983,0.26352632,Modern,Nature,6
"Come live with me and be my love,
And we will all the pleasures prove,
That Valleys, groves, hills, and fields,
Woods, or steepy mountain yields.

And we will sit upon the Rocks,
Seeing the Shepherds feed their flocks,
By shallow Rivers to whose falls
Melodious birds sing Madrigals.

And I will make thee beds of Roses
And a thousand fragrant posies,
A cap of flowers, and a kirtle
Embroidered all with leaves of Myrtle;

A gown made of the finest wool
Which from our pretty Lambs we pull;
Fair lined slippers for the cold,
With buckles of the purest gold;

A belt of straw and Ivy buds,
With Coral clasps and Amber studs:
And if these pleasures may thee move,
Come live with me, and be my love.

The Shepherds Swains shall dance and sing
For thy delight each May-morning:
If these delights thy mind may move,
Then live with me, and be my love.",3.0,joy,0.84132254,0.005719239,0.01047053,0.001652642,0.84132254,0.119742915,0.010334603,0.010757562,Renaissance,Nature,3
"He's gone, and all our plans
   Are useless indeed.
We'll walk no more on Cotswold
   Where the sheep feed
   Quietly and take no heed.
 
His body that was so quick
   Is not as you
Knew it, on Severn river
   Under the blue
   Driving our small boat through.
 
You would not know him now ...
   But still he died
Nobly, so cover him over
   With violets of pride
   Purple from Severn side.
 
Cover him, cover him soon!
   And with thick-set
Masses of memoried flowers
   Hide that red wet
   Thing I must somehow forget.",5.0,sadness,0.57540715,0.038979463,0.010920246,0.08414389,0.031616528,0.08271511,0.57540715,0.17621763,Modern,Mythology & Folklore,5
"Come darkest night, becoming sorrow best;
    Light; leave thy light; fitt for a lightsome soule;
    Darknes doth truly sure with mee oprest
    Whom absence power doth from mirthe controle:

The very trees with hanging heads condole
    Sweet sommers parting, and of leaves distrest
    In dying coulers make a griefe-full role;
    Soe much (alas) to sorrow are they prest,

Thus of dead leaves her farewell carpetts made:
    Theyr fall, theyr branches, all theyr mournings prove;
    With leavles, naked bodies, whose huese vade
    From hopefull greene, to wither in theyr love,

If trees, and leaves for absence, mourners bee
Noe mervaile that I grieve, who like want see.",5.0,sadness,0.9863613,0.001114342,0.000555517,0.00198455,0.00379747,0.002905593,0.9863613,0.003281246,Renaissance,Nature,5
"Orpheus with his lute made trees, 
And the mountain tops that freeze, 
Bow themselves when he did sing:
To his music plants and flowers 
Ever sprung; as sun and showers 
There had made a lasting spring. 
Every thing that heard him play, 
Even the billows of the sea, 
Hung their heads, and then lay by. 
In sweet music is such art, 
Killing care and grief of heart 
Fall asleep, or hearing, die.",5.0,sadness,0.7890199,0.035388175,0.014954172,0.10209855,0.016636938,0.03099039,0.7890199,0.010911801,Renaissance,Mythology & Folklore,5
"Now thou has loved me one whole day,
Tomorrow when you leavst, what wilt thou say?
Wilt thou then antedate some new-made vow?
            Or say that now
We are not just those persons which we were?
Or, that oaths made in reverential fear
Of Love, and his wrath, any may forswear?
Or, as true deaths true marriages untie,
So lovers contracts, images of those,
Bind but till sleep, deaths image, them unloose?
            Or, your own end to justify,
For having purposed change and falsehood, you
Can have no way but falsehood to be true?
Vain lunatic, against these scapes I could
            Dispute and conquer, if I would,
            Which I abstain to do,
For by tomorrow, I may think so too.",0.0,anger,0.80670744,0.80670744,0.031866588,0.12438416,0.002293583,0.022383982,0.009530661,0.002833656,Renaissance,Love,0
"          Let me pour forth
My tears before thy face, whilst I stay here,
For thy face coins them, and thy stamp they bear,
And by this mintage they are something worth,
         For thus they be
         Pregnant of thee;
Fruits of much grief they are, emblems of more,
When a tear falls, that thou falls which it bore,
So thou and I are nothing then, when on a diverse shore.

         On a round ball
A workman that hath copies by, can lay
An Europe, Afric, and an Asia,
And quickly make that, which was nothing, all;
         So doth each tear
         Which thee doth wear,
A globe, yea world, by that impression grow,
Till thy tears mix'd with mine do overflow
This world; by waters sent from thee, my heaven dissolved so.

         O more than moon,
Draw not up seas to drown me in thy sphere,
Weep me not dead, in thine arms, but forbear
To teach the sea what it may do too soon;
         Let not the wind
         Example find,
To do me more harm than it purposeth;
Since thou and I sigh one another's breath,
Whoe'er sighs most is cruellest, and hastes the other's death.",5.0,sadness,0.95504165,0.005252481,0.003205964,0.015210957,0.005839445,0.00981092,0.95504165,0.005638602,Renaissance,Love,5
"Anguish and revenge made visible, her serpents lifted
Medea above pity and horror of the enacted
Crime; murderess to herself most cruel,
Absolute in power of absolute loss,
Invulnerable by human justice or human hate,
Apollo whose ancestral fire seethed in her veins
Snatched among the gods who acknowledge only
The truth of life, fulfilled in her
To the last bitter blood-drop of her being.
On amphora and crater apotheosis
Has raised into the myths of Greece the barbarous
Wronged woman whose outstretched parting hand
Warns that there are furies among the immortals,
That anguish is an avenging frenzy
Of passionate love that slaughters her own children.
What could earth-bound Jason who rated calculation above the gods
Answer Medea departing on the dragon-chariot of her desolation?",0.0,anger,0.8909249,0.8909249,0.021936981,0.016440416,0.001008213,0.006764756,0.061158244,0.001766558,Modern,Mythology & Folklore,0
"Fie pleasure, fie! thou cloyest me with delight,
Thou fillst my mouth with sweetmeats overmuch;
I wallow still in joy both day and night:
I deem, I dream, I do, I taste, I touch,
No thing but all that smells of perfect bliss;
Fie pleasure, fie! I cannot like of this.

   To taste (sometimes) a bait of bitter gall,
To drink a draught of sour ale (some season)
To eat brown bread with homely hands in hall,
Doth much increase mens appetites, by reason,
And makes the sweet more sugard that ensues,
Since minds of men do still seek after news.

   The pamperd horse is seldom seen in breath,
Whose manger makes his grace (oftimes) to melt;
The crammed fowl comes quickly to his death;
Such colds they catch in hottest haps that swelt;
And I (much like) in pleasure scawled still,
Do fear to starve although I feed my fill.

   It might suffice that Love hath built his bower
Between my ladys lively shining eyes;
It were enough that beautys fading flower
Grows ever fresh with her in heavenly wise;
It had been well that she were fair of face,
And yet not rob all other dames of grace.

   To muse in mind, how wise, how fair, how good,
How brave, how frank, how courteous, and how true
My lady is, doth but inflame my blood
With humours such as bid my health adieu;
Si",3.0,joy,0.9432563,0.004874013,0.006278632,0.009114236,0.9432563,0.00998345,0.024905458,0.001587893,Renaissance,Nature,3
"Come Sleep! O Sleep, the certain knot of peace,
The baiting-place of wit, the balm of woe,
The poor man's wealth, the prisoner's release,
Th' indifferent judge between the high and low.
With shield of proof shield me from out the prease
Of those fierce darts despair at me doth throw:
O make in me those civil wars to cease;
I will good tribute pay, if thou do so.
Take thou of me smooth pillows, sweetest bed,
A chamber deaf to noise and blind to light,
A rosy garland and a weary head:
And if these things, as being thine by right,
Move not thy heavy grace, thou shalt in me,
Livelier than elsewhere, Stella's image see.",5.0,sadness,0.8236891,0.018500056,0.007521932,0.11503051,0.007485515,0.024555385,0.8236891,0.00321745,Renaissance,Love,5
"The moon has left the sky, love,
The stars are hiding now,
And frowning on the world, love,
Night bares her sable brow.

The snow is on the ground, love,
And cold and keen the air is.
Im singing here to you, love;
Youre dreaming there in Paris.

But this is Natures law, love,
Though just it may not seem,
That men should wake to sing, love;
While maidens sleep and dream.

Them care may not molest, love,
Nor stir them from their slumbers,
Though midnight find the swain, love.
Still halting oer his numbers.

I watch the rosy dawn, love,
Come stealing up the east,
While all things round rejoice, love,
That Night her reign has ceased.

The lark will soon be heard, love,
And on his way be winging;
When Natures poets, wake, love,
Why should a man be singing?",0.0,anger,0.6641075,0.6641075,0.027195154,0.00853507,0.014968458,0.05409024,0.22670646,0.004397058,Modern,Nature,0
"love is more thicker than forget
more thinner than recall
more seldom than a wave is wet
more frequent than to fail

it is most mad and moonly
and less it shall unbe
than all the sea which only
is deeper than the sea

love is less always than to win
less never than alive
less bigger than the least begin
less littler than forgive

it is most sane and sunly
and more it cannot die
than all the sky which only
is higher than the sky",0.0,anger,0.67386276,0.67386276,0.004725899,0.004332849,0.04627262,0.029895546,0.23291141,0.007998947,Modern,Love,0
"Knowlt Hoheimer ran away to the war
The day before Curl Trenary
Swore out a warrant through Justice Arnett
For stealing hogs.
But that's not the reason he turned a soldier.
He caught me running with Lucius Atherton.
We quarreled and I told him never again
To cross my path.
Then he stole the hogs and went to the war
Back of every soldier is a woman.",0.0,anger,0.6769307,0.6769307,0.14882237,0.055663455,0.002039801,0.089893214,0.021281594,0.005368806,Modern,Love,0
"Clytemnestra opens the window, looks
at herself in the glass to put on her new
hat. Agamemnon stands in the vestibule,
lights a cigarette, and waits for his wife.
Aegisthus comes in at the main door. He
doesn't know that Agamemnon returned
home last night. They meet on the stairs.
Clytemnestra suggests that they go to the
theatre. From now on they will be going
out a lot together.
Electra works in the cooperative.
Orestes studies pharmacology. Soon he'll
marry his careless classmate with the pale
complexion and eyes continually filled
with tears.",4.0,neutral,0.65740603,0.018631505,0.121050805,0.039344005,0.005401275,0.65740603,0.09372668,0.06443977,Modern,Mythology & Folklore,4
"Muses that sing love's sensual empery,
And lovers kindling your enraged fires
At Cupid's bonfires burning in the eye,
Blown with the empty breath of vain desires;
You that prefer the painted cabinet
Before the wealthy jewels it doth store ye,
That all your joys in dying figures set,
And stain the living substance of your glory;
Abjure those joys, abhor their memory,
And let my love the honour'd subject be
Of love, and honour's complete history.
Your eyes were never yet let in to see
The majesty and riches of the mind,
But dwell in darkness; for your god is blind.",0.0,anger,0.9661593,0.9661593,0.01697268,0.002848703,0.000809578,0.007126214,0.004983733,0.00109991,Renaissance,Love,0
"Were you but lying cold and dead,
And lights were paling out of the West,
You would come hither, and bend your head,
And I would lay my head on your breast;
And you would murmur tender words,
Forgiving me, because you were dead:
Nor would you rise and hasten away,
Though you have the will of wild birds,
But know your hair was bound and wound
About the stars and moon and sun:
O would, beloved, that you lay
Under the dock-leaves in the ground,
While lights were paling one by one.",5.0,sadness,0.6955061,0.0672899,0.056481637,0.11687355,0.020185435,0.041172296,0.6955061,0.002491095,Modern,Love,5
"I went out to the hazel wood,
Because a fire was in my head,
And cut and peeled a hazel wand,
And hooked a berry to a thread;
And when white moths were on the wing,
And moth-like stars were flickering out,
I dropped the berry in a stream
And caught a little silver trout.

When I had laid it on the floor
I went to blow the fire a-flame,
But something rustled on the floor,
And someone called me by my name:
It had become a glimmering girl
With apple blossom in her hair
Who called me by my name and ran
And faded through the brightening air.

Though I am old with wandering
Through hollow lands and hilly lands,
I will find out where she has gone,
And kiss her lips and take her hands;
And walk among long dappled grass,
And pluck till time and times are done,
The silver apples of the moon,
The golden apples of the sun.",4.0,neutral,0.24709253,0.113124326,0.18548404,0.16612205,0.030297764,0.24709253,0.1641557,0.09372367,Modern,Nature,4
"My bands of silk and miniver
Momently grew heavier;
The black gauze was beggarly thin;
The ermine muffled mouth and chin;
I could not suck the moonlight in.

Harlequin in lozenges
Of love and hate, I walked in these
Striped and ragged rigmaroles;
Along the pavement my footsoles
Trod warily on living coals.

Shouldering the thoughts I loathed,
In their corrupt disguises clothed,
Morality I could not tear
From my ribs, to leave them bare
Ivory in silver air.

There I walked, and there I raged;
The spiritual savage caged
Within my skeleton, raged afresh
To feel, behind a carnal mesh,
The clean bones crying in the flesh.",1.0,disgust,0.8243026,0.09561151,0.8243026,0.013012507,0.001306975,0.011452813,0.051674772,0.002638841,Modern,Mythology & Folklore,1
"Jason swore that his hand was hers forever.
She took him at his word....
* # *
There Medea found
Jason remarried, and with her deadly spells
She burnt his bride to ashes while two seas
Witnessed the flames that poured from Jason's halls.
Even then her blood-red steel had pierced the bodies
Of their two sons; yet she escaped the edge
of Jason's sword by taking refuge in her
Dragon's car, those flying monsters born
Of Titan's blood.",0.0,anger,0.9414577,0.9414577,0.015848024,0.018403856,0.001110978,0.006025833,0.013881658,0.003271906,Modern,Mythology & Folklore,0
"I am the virgin
the woman
the prostitute
I am the salt
the mercury
the sulphur
I am heaven
and hell
I am the earth
you see me illuminated
maternal
Don't trust me
I can consign you
to darkness.",2.0,fear,0.88947237,0.033418607,0.028210923,0.88947237,0.003816594,0.008853585,0.034495853,0.001732056,Modern,Mythology & Folklore,2
"Show me dear Christ, thy spouse so bright and clear.
What! is it she which on the other shore
Goes richly painted? or which, robb'd and tore,
Laments and mourns in Germany and here?
Sleeps she a thousand, then peeps up one year?
Is she self-truth, and errs? now new, now outwore?
Doth she, and did she, and shall she evermore
On one, on seven, or on no hill appear?
Dwells she with us, or like adventuring knights
First travel we to seek, and then make love?
Betray, kind husband, thy spouse to our sights,
And let mine amorous soul court thy mild Dove,
Who is most true and pleasing to thee then
When she'is embrac'd and open to most men.",5.0,sadness,0.8538488,0.009941204,0.010537207,0.010575735,0.004462629,0.06801437,0.8538488,0.04261999,Renaissance,Love,5
"I will arise and go now, and go to Innisfree,
And a small cabin build there, of clay and wattles made;
Nine bean-rows will I have there, a hive for the honey-bee,
And live alone in the bee-loud glade.

And I shall have some peace there, for peace comes dropping slow,
Dropping from the veils of the morning to where the cricket sings;
There midnights all a glimmer, and noon a purple glow,
And evening full of the linnets wings.

I will arise and go now, for always night and day
I hear lake water lapping with low sounds by the shore;
While I stand on the roadway, or on the pavements grey,
I hear it in the deep hearts core.",5.0,sadness,0.7636279,0.017124033,0.017842906,0.0427058,0.01969401,0.08833861,0.7636279,0.050666776,Modern,Nature,5
